YYYYMMDD	M3	M2	M1	W4	W3	W2	W1	weekend	season	event
20181124	60	60	70	70	70	70	70		0	0
20181125	60	60	70	70	70	70	70		0	0
20181126	60	60	70	70	70	70	70		0	0
20181127	60	60	70	70	70	70	70		0	0
20181128	60	60	70	70	70	70	70		0	0
20181129	60	60	70	70	70	70	70		0	0
20181130	60	60	70	70	70	70	65		0	0
20181201	60	60	70	70	70	70	65		0	0
20181202	60	60	70	70	70	70	65		0	0
20181203	60	60	70	70	70	70	65		0	0
20181204	60	60	70	70	70	75	70		0	0
20181205	60	60	70	70	75	70	70		0	0
20181206	60	70	70	70	70	65	65		0	0
20181207	60	70	70	70	70	65	65		0	0
20181208	60	70	70	70	70	65	65		0	0
20181209	60	70	70	70	70	65	65		0	0
20181210	60	70	70	70	70	65	65		0	0
20181211	60	70	70	70	70	65	65		0	0
20181212	60	70	70	70	65	65	65		0	0
20181213	60	70	70	70	65	65	65		0	0
20181214	60	70	70	70	65	65	65		0	0
20181215	60	70	70	70	65	65	65		0	0
20181216	60	70	70	70	65	65	65		0	0
20181217	60	70	70	70	65	65	65		0	0
20181218	60	70	70	70	65	65	65		0	0
20181219	60	70	70	65	65	65	65		0	0
20181220	45	70	70	65	65	65	65		0	0
20181221	45	65	65	60	60	60	60		0	1
20181222	45	65	65	60	60	60	60		0	1
20181223	45	65	65	60	60	60	60		0	1
20181224	45	65	65	60	60	60	60		0	1
20181225	60	70	70	65	65	65	65		0	0
20181226	60	70	65	65	65	65	65		0	0
20181227	45	70	65	65	65	65	65		0	0
20181228	45	55	50	50	50	50	50		0	1
20181229	45	55	50	50	50	50	50		0	1
20181230	45	55	50	50	50	50	50		0	1
20181231	45	55	50	50	50	50	50		0	1
20190101	70	70	70	70	70	70	70		0	0
20190102	70	70	70	70	70	70	70		0	0
20190103	70	70	70	70	70	70	70		0	0
20190104	65	65	65	65	65	65	65	1	0	0
20190105	65	65	65	65	65	65	65	1	0	0
20190106	70	70	70	70	75	75	75		0	0
20190107	70	70	70	75	75	75	75		0	0
20190108	70	70	70	75	75	75	75		0	0
20190109	70	70	70	75	75	75	75		0	0
20190110	70	70	70	70	70	70	70		0	0
20190111	65	65	65	70	70	70	70	1	0	0
20190112	65	65	65	70	70	70	70	1	0	0
20190113	70	70	70	75	75	75	75		0	0
20190114	70	70	75	75	75	75	75		0	0
20190115	70	70	75	75	75	75	75		0	0
20190116	70	70	75	75	75	75	75		0	0
20190117	70	70	70	70	70	75	75		0	0
20190118	55	55	70	70	70	75	75	1	0	0
20190119	55	55	70	70	70	75	75	1	0	0
20190120	70	70	75	75	75	75	75		0	0
20190121	70	70	75	75	75	75	75		0	0
20190122	70	70	75	75	75	75	75		0	0
20190123	70	70	75	75	75	75	75		0	0
20190124	70	70	70	70	75	75	75		0	0
20190125	65	65	70	70	75	75	75	1	0	0
20190126	65	65	70	70	75	75	75	1	0	0
20190127	70	70	75	75	75	75	75		0	0
20190128	70	70	75	75	75	75	75		0	0
20190129	70	70	75	75	75	75	75		0	0
20190130	70	70	75	75	75	75	75		0	0
20190131	60	60	60	60	60	65	65		0	0
20190201	35	35	35	35	35	65	65		0	1
